Balls,Strikes,wOBA,wOBA_difference,strike,ball,Single,Double,Triple,HomeRun,Out,Error,FieldersChoice
0,0,0.306,0.0,-0.03652173913043477,0.03217391304347829,0.5599999999999999,1.0052173913043478,1.56,1.7095652173913043,-0.26608695652173914,0.5599999999999999,0.5599999999999999
0,1,0.264,-0.03652173913043477,-0.04521739130434785,0.021739130434782584,0.5965217391304348,1.0417391304347827,1.596521739130435,1.7460869565217392,-0.22956521739130437,0.5965217391304348,0.5965217391304348
0,2,0.212,-0.08173913043478262,-0.20826086956521736,0.019130434782608716,0.6417391304347827,1.0869565217391306,1.6417391304347828,1.7913043478260868,-0.18434782608695652,0.6417391304347827,0.6417391304347827
1,0,0.343,0.03217391304347829,-0.04695652173913048,0.061739130434782574,0.5278260869565218,0.9730434782608697,1.527826086956522,1.6773913043478261,-0.2982608695652174,0.5278260869565218,0.5278260869565218
1,1,0.289,-0.014782608695652188,-0.04782608695652171,0.052173913043478265,0.5747826086956522,1.02,1.5747826086956525,1.7243478260869565,-0.25130434782608696,0.5747826086956522,0.5747826086956522
1,2,0.234,-0.0626086956521739,-0.22739130434782606,0.03391304347826088,0.6226086956521739,1.0678260869565217,1.6226086956521741,1.7721739130434782,-0.20347826086956525,0.6226086956521739,0.6226086956521739
2,0,0.414,0.09391304347826086,-0.05652173913043479,0.07913043478260871,0.4660869565217392,0.911304347826087,1.4660869565217394,1.6156521739130434,-0.36,0.4660869565217392,0.4660869565217392
2,1,0.349,0.037391304347826074,-0.0660869565217391,0.09217391304347831,0.5226086956521739,0.9678260869565218,1.522608695652174,1.6721739130434783,-0.3034782608695652,0.5226086956521739,0.5226086956521739
2,2,0.273,-0.02869565217391302,-0.26130434782608697,0.07999999999999997,0.5886956521739131,1.033913043478261,1.588695652173913,1.7382608695652173,-0.23739130434782613,0.5886956521739131,0.5886956521739131
3,0,0.505,0.17304347826086958,-0.04347826086956519,0.14695652173913043,0.3869565217391304,0.8321739130434783,1.3869565217391306,1.5365217391304349,-0.4391304347826087,0.3869565217391304,0.3869565217391304
3,1,0.455,0.1295652173913044,-0.07826086956521744,0.19043478260869562,0.4304347826086956,0.8756521739130435,1.4304347826086958,1.5799999999999998,-0.3956521739130435,0.4304347826086956,0.4304347826086956
3,2,0.365,0.051304347826086956,-0.34130434782608693,0.26869565217391306,0.5086956521739131,0.9539130434782609,1.5086956521739132,1.6582608695652175,-0.3173913043478261,0.5086956521739131,0.5086956521739131
